--------------------------------------------------------------------------------
Process Log Fri Apr 26 22:39:06 2019
--------------------------------------------------------------------------------
{'username': 'pratikbali', 'pid': 544, 'name': 'Code Helper', 'vms': 5343L} 
{'username': 'pratikbali', 'pid': 551, 'name': 'crashpad_handler', 'vms': 4206L} 
{'username': 'pratikbali', 'pid': 570, 'name': 'Code Helper', 'vms': 5169L} 
{'username': 'pratikbali', 'pid': 583, 'name': 'com.apple.DictionaryServiceHelper', 'vms': 4230L} 
{'username': 'pratikbali', 'pid': 584, 'name': 'GitHub Desktop', 'vms': 5647L} 
{'username': 'pratikbali', 'pid': 589, 'name': 'GitHub Desktop Helper', 'vms': 4512L} 
{'username': 'pratikbali', 'pid': 590, 'name': 'GitHub Desktop Helper', 'vms': 5126L} 
{'username': 'pratikbali', 'pid': 684, 'name': 'Code Helper', 'vms': 6108L} 
{'username': 'pratikbali', 'pid': 685, 'name': 'bash', 'vms': 4179L} 
{'username': 'pratikbali', 'pid': 688, 'name': 'Code Helper', 'vms': 5131L} 
{'username': 'pratikbali', 'pid': 689, 'name': 'Code Helper', 'vms': 4974L} 
{'username': 'pratikbali', 'pid': 741, 'name': 'Python', 'vms': 4176L} 
{'username': 'pratikbali', 'pid': 807, 'name': 'Python', 'vms': 4162L} 
{'username': 'pratikbali', 'pid': 825, 'name': 'Code Helper', 'vms': 4983L} 
{'username': 'pratikbali', 'pid': 919, 'name': 'Mail', 'vms': 5217L} 
{'username': 'pratikbali', 'pid': 922, 'name': 'Safari', 'vms': 5949L} 
{'username': 'pratikbali', 'pid': 923, 'name': 'com.apple.Safari.History', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 925, 'name': 'com.apple.hiservices-xpcservice', 'vms': 4204L} 
{'username': 'pratikbali', 'pid': 927, 'name': 'com.apple.WebKit.Networking', 'vms': 4266L} 
{'username': 'pratikbali', 'pid': 928, 'name': 'com.apple.Safari.SandboxBroker', 'vms': 4747L} 
{'username': 'pratikbali', 'pid': 931, 'name': 'com.apple.CoreSimulator.CoreSimulatorService', 'vms': 4747L} 
{'username': 'pratikbali', 'pid': 932, 'name': 'webinspectord', 'vms': 4204L} 
{'username': 'pratikbali', 'pid': 934, 'name': 'recentsd', 'vms': 4230L} 
{'username': 'pratikbali', 'pid': 936, 'name': 'com.apple.WebKit.Networking', 'vms': 4256L} 
{'username': 'pratikbali', 'pid': 939, 'name': 'reversetemplated', 'vms': 4270L} 
{'username': 'pratikbali', 'pid': 943, 'name': 'com.apple.audio.SandboxHelper', 'vms': 4204L} 
{'username': 'pratikbali', 'pid': 978, 'name': 'TextEdit', 'vms': 4833L} 
{'username': 'pratikbali', 'pid': 979, 'name': 'XprotectService', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 980, 'name': 'AppleSpell', 'vms': 4437L} 
{'username': 'pratikbali', 'pid': 981, 'name': 'keyboardservicesd', 'vms': 4234L} 
{'username': 'pratikbali', 'pid': 1020, 'name': 'com.apple.appkit.xpc.openAndSavePanelService', 'vms': 4820L} 
{'username': 'pratikbali', 'pid': 1039, 'name': 'QuickLookUIService', 'vms': 4767L} 
{'username': 'pratikbali', 'pid': 1041, 'name': 'Preview', 'vms': 4932L} 
{'username': 'pratikbali', 'pid': 1236, 'name': 'appstoreagent', 'vms': 4233L} 
{'username': 'pratikbali', 'pid': 1321, 'name': 'com.apple.siri-distributed-evaluation', 'vms': 4230L} 
{'username': 'pratikbali', 'pid': 1814, 'name': 'com.apple.WebKit.WebContent', 'vms': 104591L} 
{'username': 'pratikbali', 'pid': 1815, 'name': 'com.apple.Safari.SafeBrowsing.Service', 'vms': 4242L} 
{'username': 'pratikbali', 'pid': 1816, 'name': 'com.apple.WebKit.Storage', 'vms': 4239L} 
{'username': 'pratikbali', 'pid': 1818, 'name': 'Bandwidth+', 'vms': 4764L} 
{'username': 'pratikbali', 'pid': 1819, 'name': 'com.apple.speech.speechsynthesisd', 'vms': 4241L} 
{'username': 'pratikbali', 'pid': 1840, 'name': 'mdworker_shared', 'vms': 4217L} 
{'username': 'pratikbali', 'pid': 1852, 'name': 'mdworker_shared', 'vms': 4223L} 
{'username': 'pratikbali', 'pid': 1854, 'name': 'mdworker_shared', 'vms': 4217L} 
{'username': 'pratikbali', 'pid': 2066, 'name': 'mdworker_shared', 'vms': 4216L} 
{'username': 'pratikbali', 'pid': 2207, 'name': 'mdworker_shared', 'vms': 4242L} 
{'username': 'pratikbali', 'pid': 2208, 'name': 'mdworker_shared', 'vms': 4242L} 
{'username': 'pratikbali', 'pid': 2209, 'name': 'mdworker_shared', 'vms': 4242L} 
{'username': 'pratikbali', 'pid': 2210, 'name': 'mdworker_shared', 'vms': 4242L} 
{'username': 'pratikbali', 'pid': 2361, 'name': 'com.apple.WebKit.WebContent', 'vms': 87475L} 
{'username': 'pratikbali', 'pid': 2362, 'name': 'com.apple.WebKit.WebContent', 'vms': 103785L} 
{'username': 'pratikbali', 'pid': 2363, 'name': 'mdworker_shared', 'vms': 4242L} 
{'username': 'pratikbali', 'pid': 2364, 'name': 'mdworker_shared', 'vms': 4242L} 
{'username': 'pratikbali', 'pid': 2523, 'name': 'com.apple.iCloudHelper', 'vms': 4230L} 
{'username': 'pratikbali', 'pid': 2568, 'name': 'Code Helper', 'vms': 4935L} 
{'username': 'pratikbali', 'pid': 2571, 'name': 'mdworker_shared', 'vms': 4216L} 
{'username': 'pratikbali', 'pid': 2608, 'name': 'Python', 'vms': 4200L} 
{'username': 'pratikbali', 'pid': 2609, 'name': 'Python', 'vms': 4201L} 
