--------------------------------------------------------------------------------
Process Log Fri Apr 26 19:28:06 2019
--------------------------------------------------------------------------------
{'name': 'wepsvc.exe', 'username': None, 'pid': 5276, 'vms': 11.48046875} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 5552, 'vms': 57.4765625} 
{'name': 'svchost.exe', 'username': None, 'pid': 5684, 'vms': 36.703125} 
{'name': 'wlanext.exe', 'username': None, 'pid': 5792, 'vms': 1.5078125} 
{'name': 'conhost.exe', 'username': None, 'pid': 5804, 'vms': 1.7734375} 
{'name': 'OneDrive.exe', 'username': 'NTNET\\pratibal', 'pid': 5816, 'vms': 54.359375} 
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 5856, 'vms': 25.83984375} 
{'name': 'EndPointClassifier.exe', 'username': None, 'pid': 5880, 'vms': 140.23046875} 
{'name': 'discusge.exe', 'username': None, 'pid': 6040, 'vms': 4.92578125} 
{'name': 'conhost.exe', 'username': None, 'pid': 6052, 'vms': 1.8515625} 
{'name': 'Code.exe', 'username': 'NTNET\\pratibal', 'pid': 6084, 'vms': 55.03515625} 
{'name': 'kvoop.exe', 'username': None, 'pid': 6120, 'vms': 2.0703125} 
{'name': 'Code.exe', 'username': 'NTNET\\pratibal', 'pid': 6256, 'vms': 14.4921875} 
{'name': 'svchost.exe', 'username': None, 'pid': 6304, 'vms': 1.80078125} 
{'name': 'Code.exe', 'username': 'NTNET\\pratibal', 'pid': 6736, 'vms': 7.5390625} 
{'name': 'IntelCpHeciSvc.exe', 'username': None, 'pid': 6744, 'vms': 1.875} 
{'name': 'kvoop.exe', 'username': None, 'pid': 6772, 'vms': 2.0625} 
{'name': 'kvoop.exe', 'username': None, 'pid': 6992, 'vms': 1.9921875} 
{'name': 'Code.exe', 'username': 'NTNET\\pratibal', 'pid': 7032, 'vms': 230.19921875} 
{'name': 'kvoop.exe', 'username': None, 'pid': 7036, 'vms': 2.06640625} 
{'name': 'kvoop.exe', 'username': None, 'pid': 7084, 'vms': 2.1015625} 
{'name': 'VSSVC.exe', 'username': None, 'pid': 7184, 'vms': 7.37109375} 
{'name': 'Code.exe', 'username': 'NTNET\\pratibal', 'pid': 7416, 'vms': 23.30078125} 
{'name': 'svchost.exe', 'username': 'NTNET\\pratibal', 'pid': 7420, 'vms': 8.5078125} 
{'name': 'svchost.exe', 'username': None, 'pid': 7468, 'vms': 3.078125} 
{'name': 'lync.exe', 'username': 'NTNET\\pratibal', 'pid': 7584, 'vms': 215.7421875} 
{'name': 'svchost.exe', 'username': None, 'pid': 7592, 'vms': 3.78515625} 
{'name': 'unsecapp.exe', 'username': None, 'pid': 7708, 'vms': 1.90625} 
{'name': 'ApMsgFwd.exe', 'username': 'NTNET\\pratibal', 'pid': 7724, 'vms': 2.98046875} 
{'name': 'svchost.exe', 'username': None, 'pid': 7816, 'vms': 3.05859375} 
{'name': 'AcroRd32.exe', 'username': 'NTNET\\pratibal', 'pid': 7832, 'vms': 159.6796875} 
